Date,Impressions,CTR,Clicks,CPC,Cost,ROI,Revenue,Device,Market
2023-01-03,6408889,0.359,2300791,1.723,3964262.893,1.361,5395361.797,Mobile,NZ
2023-01-03,4828153,0.314,1516040,0.251,380526.04,1.258,478701.758,Mobile,DE
2023-01-03,9468227,0.458,4336447,1.875,8130838.125,1.0,8130838.125,Mobile,US
2023-01-03,6542607,0.64,4187268,2.244,9396229.392,0.818,7686115.643,Mobile,SE
2023-01-03,8746365,0.48,4198255,1.395,5856565.725,1.033,6049832.394,Mobile,US
2023-01-04,6547004,0.172,1126084,0.238,268007.992,0.901,241475.201,Mobile,CH
2023-01-04,1631381,0.002,3262,1.198,3907.876,1.02,3986.034,Mobile,EG
2023-01-04,8900894,0.724,6444247,0.163,1050412.261,1.298,1363435.115,Mobile,NL
2023-01-04,5746982,0.819,4706778,0.523,2461644.894,1.065,2621651.812,Mobile,AU
2023-01-04,1164043,0.119,138521,1.69,234100.49,1.354,316972.063,Desktop,SE
2023-01-04,3141772,0.899,2824453,1.036,2926133.308,1.223,3578661.036,Mobile,UK
2023-01-04,9429453,0.477,4497849,1.564,7034635.836,0.838,5895024.831,Mobile,US
2023-01-04,9277569,0.382,3544031,1.985,7034901.535,1.516,10664910.727,Mobile,IT
2023-01-04,4554886,0.309,1407459,0.832,1171005.888,0.932,1091377.488,Mobile,CH
2023-01-04,880518,0.887,781019,1.427,1114514.113,1.309,1458898.974,Desktop,CH
2023-01-04,1696433,0.237,402054,1.419,570514.626,1.534,875169.436,Desktop,UK
2023-01-04,2079948,0.246,511667,0.261,133545.087,1.031,137684.985,Desktop,NL
2023-01-04,3027906,0.793,2401129,0.586,1407061.594,1.419,1996620.402,Desktop,SG
2023-01-05,5807962,0.506,2938828,0.911,2677272.308,1.427,3820467.584,Mobile,ID
2023-01-05,4761383,0.022,104750,2.077,217565.75,1.512,328959.414,Desktop,EG
2023-01-05,7445523,0.178,1325303,0.428,567229.684,1.089,617713.126,Mobile,AT
2023-01-05,2941726,0.314,923701,2.034,1878807.834,1.442,2709240.897,Mobile,AE
2023-01-05,5700697,0.931,5307348,2.113,11214426.324,1.076,12066722.725,Desktop,US
2023-01-05,9782222,0.931,9107248,2.281,20773632.688,1.172,24346697.51,Desktop,IN
2023-01-05,265322,0.486,128946,1.443,186069.078,1.382,257147.466,Mobile,PH
2023-01-05,9539606,0.895,8537947,1.928,16461161.816,0.999,16444700.654,Desktop,ID
2023-01-05,5212629,0.386,2012074,1.701,3422537.874,1.033,3535481.624,Desktop,CN
2023-01-05,2112651,0.778,1643642,1.342,2205767.564,0.915,2018277.321,Desktop,AR
2023-01-05,7493751,0.292,2188175,0.741,1621437.675,1.089,1765745.628,Desktop,FR
2023-01-05,3566761,0.889,3170850,1.57,4978234.5,1.451,7223418.26,Desktop,EG
2023-01-05,3084113,0.041,126448,1.581,199914.288,1.493,298472.032,Desktop,SE
2023-01-05,1757424,0.169,297004,0.102,30294.408,1.336,40473.329,Mobile,BE
2023-01-06,8501183,0.4,3400473,1.041,3539892.393,1.37,4849652.578,Desktop,BR
2023-01-06,8526385,0.284,2421493,1.557,3770264.601,0.832,3136860.148,Desktop,MX
2023-01-06,2753772,0.078,214794,0.642,137897.748,1.099,151549.625,Desktop,TH
2023-01-06,6416427,0.469,3009304,0.388,1167609.952,1.3,1517892.938,Mobile,SE
2023-01-06,4359886,0.198,863257,1.049,905556.593,0.972,880201.008,Mobile,IN
2023-01-06,7073947,0.618,4371699,1.086,4747665.114,1.385,6575516.183,Mobile,PH
2023-01-06,4781003,0.957,4575419,0.708,3239396.652,1.317,4266285.391,Mobile,BR
2023-01-06,2758131,0.793,2187197,0.352,769893.344,0.813,625923.289,Mobile,NO
2023-01-06,3055148,0.745,2276085,2.223,5059736.955,1.194,6041325.924,Desktop,ZA
2023-01-06,3952010,0.55,2173605,1.733,3766857.465,1.436,5409207.32,Desktop,IL
2023-01-06,3810619,0.413,1573785,1.473,2318185.305,0.847,1963502.953,Desktop,UK
2023-01-06,9119830,0.182,1659809,2.008,3332896.472,0.941,3136255.58,Mobile,MX
2023-01-06,4313822,0.581,2506330,0.48,1203038.4,1.211,1456879.502,Mobile,DK
2023-01-06,3886717,0.154,598554,0.97,580597.38,1.009,585822.756,Desktop,IN
2023-01-07,6204797,0.535,3319566,1.944,6453236.304,0.891,5749833.547,Mobile,ZA
2023-01-07,6608946,0.914,6040576,0.178,1075222.528,1.498,1610683.347,Desktop,IT
2023-01-07,9058548,0.757,6857320,0.652,4470972.64,1.209,5405405.922,Desktop,DE
2023-01-07,6385569,0.062,395905,0.661,261693.205,1.248,326593.12,Desktop,PL
2023-01-07,4695360,0.144,676131,1.712,1157536.272,1.455,1684215.276,Mobile,JP
2023-01-07,2175782,0.178,387289,0.855,331132.095,1.313,434776.441,Mobile,MX
2023-01-07,7438267,0.653,4857188,0.357,1734016.116,1.475,2557673.771,Desktop,TR
2023-01-07,2337363,0.63,1472538,0.411,605213.118,1.501,908424.89,Desktop,AR
2023-01-07,4679007,0.529,2475194,2.291,5670669.454,1.345,7627050.416,Mobile,FR
2023-01-07,5502821,0.018,99050,0.808,80032.4,0.996,79712.27,Desktop,DK
2023-01-07,1317624,0.604,795844,0.228,181452.432,1.503,272723.005,Mobile,ZA
2023-01-07,385907,0.028,10805,1.502,16229.11,1.471,23873.021,Desktop,FR
2023-01-07,3923177,0.105,411933,2.345,965982.885,1.147,1107982.369,Desktop,KR
2023-01-08,3753392,0.88,3302984,2.253,7441622.952,1.507,11214525.789,Mobile,TR
2023-01-08,4563078,0.924,4216284,0.267,1125747.828,1.417,1595184.672,Mobile,US
2023-01-08,4240964,0.812,3443662,0.548,1887126.776,1.157,2183405.68,Mobile,RU
2023-01-08,7023020,0.899,6313694,2.314,14609887.916,0.909,13280388.116,Mobile,DE
2023-01-08,251389,0.568,142788,0.279,39837.852,0.996,39678.501,Desktop,AE
2023-01-08,277749,0.649,180259,1.874,337805.366,0.92,310780.937,Mobile,NZ
2023-01-08,9088948,0.517,4698986,0.908,4266679.288,1.068,4556813.48,Mobile,TH
2023-01-08,3911973,0.808,3160874,0.949,2999669.426,1.28,3839576.865,Desktop,FR
2023-01-08,4658540,0.022,102487,1.223,125341.601,1.526,191271.283,Mobile,RU
2023-01-08,3433949,0.113,388036,0.483,187421.388,1.333,249832.71,Mobile,US
2023-01-08,6947181,0.977,6787395,1.46,9909596.7,1.201,11901425.637,Mobile,SA
2023-01-08,3176353,0.422,1340420,0.489,655465.38,1.297,850138.598,Mobile,BE
2023-01-08,7733084,0.906,7006174,1.87,13101545.38,0.864,11319735.208,Desktop,AT
2023-01-08,2486586,0.935,2324957,1.915,4452292.655,1.355,6032856.548,Mobile,PH
2023-01-09,1200173,0.339,406858,0.797,324265.826,1.136,368365.978,Mobile,UK
2023-01-09,9958221,0.387,3853831,1.484,5719085.204,1.264,7228923.698,Mobile,PT
2023-01-09,8318268,0.397,3302352,2.324,7674666.048,1.044,8012351.354,Mobile,ID
2023-01-09,5781687,0.482,2786773,0.383,1067334.059,1.279,1365120.261,Mobile,PL
2023-01-09,100600,0.477,47986,1.884,90405.624,1.076,97276.451,Desktop,DK
2023-01-09,7111414,0.878,6243821,0.282,1760757.522,0.864,1521294.499,Mobile,VN
2023-01-09,1691058,0.193,326374,0.938,306138.812,1.001,306444.951,Desktop,AU
2023-01-09,7695624,0.142,1092778,2.014,2200854.892,0.781,1718867.671,Desktop,AT
2023-01-09,9197560,0.644,5923228,1.959,11603603.652,0.872,10118342.385,Mobile,MY
2023-01-09,6299082,0.313,1971612,0.405,798502.86,1.456,1162620.164,Mobile,EG
2023-01-09,856346,0.048,41104,0.27,11098.08,1.502,16669.316,Desktop,DK
2023-01-09,3368464,0.004,13473,0.507,6830.811,0.78,5328.033,Desktop,PL
2023-01-09,4447881,0.087,386965,1.932,747616.38,0.788,589121.707,Mobile,BR
2023-01-09,5383134,0.474,2551605,2.109,5381334.945,1.511,8131197.102,Desktop,ID
2023-01-10,929591,0.71,660009,0.993,655388.937,1.34,878221.176,Mobile,SA
2023-01-10,9628651,0.532,5122442,1.24,6351828.08,0.915,5811922.693,Desktop,CH
2023-01-10,8480845,0.877,7437701,2.107,15671236.007,0.82,12850413.526,Desktop,ES
2023-01-10,2018600,0.771,1556340,1.911,2974165.74,0.958,2849250.779,Desktop,TH
2023-01-10,8692529,0.299,2599066,0.375,974649.75,1.38,1345016.655,Desktop,RU
2023-01-10,87598,0.017,1489,2.072,3085.208,1.423,4390.251,Desktop,TH
2023-01-10,56714,0.569,32270,0.773,24944.71,1.448,36119.94,Desktop,JP
2023-01-10,7980477,0.571,4556852,0.231,1052632.812,1.375,1447370.116,Desktop,ID
2023-01-10,4110215,0.187,768610,1.972,1515698.92,1.136,1721833.973,Mobile,SG
2023-01-10,9930620,0.337,3346618,0.667,2232194.206,1.029,2296927.838,Mobile,JP
2023-01-10,7388811,0.067,495050,1.092,540594.6,0.945,510861.897,Mobile,TR
2023-01-10,416989,0.887,369869,0.565,208975.985,0.932,194765.618,Mobile,SA
2023-01-10,811603,0.57,462613,0.488,225755.144,1.152,260069.926,Mobile,IT
2023-01-11,6157405,0.596,3669813,0.792,2906491.896,1.118,3249457.94,Desktop,PT
2023-01-11,6120508,0.498,3048012,0.507,1545342.084,1.044,1613337.136,Mobile,MY
2023-01-11,4952343,0.105,519996,2.183,1135151.268,0.828,939905.25,Desktop,SE
2023-01-11,2102085,0.072,151350,1.294,195846.9,0.955,187033.789,Mobile,NZ
2023-01-11,5106011,0.82,4186929,2.261,9466646.469,1.1,10413311.116,Desktop,SA
2023-01-11,5381494,0.527,2836047,1.692,4798591.524,0.909,4361919.695,Mobile,VN
2023-01-11,1623730,0.529,858953,1.164,999821.292,1.33,1329762.318,Desktop,US
2023-01-11,7090289,0.212,1503141,0.934,1403933.694,0.892,1252308.855,Mobile,DK
2023-01-11,8186780,0.047,384778,1.434,551771.652,1.458,804483.069,Mobile,KR
2023-01-11,5682877,0.824,4682690,1.917,8976716.73,1.513,13581772.412,Desktop,MX
2023-01-11,9924153,0.685,6798044,0.975,6628092.9,0.803,5322358.599,Mobile,ZA
2023-01-11,6039846,0.514,3104480,0.431,1338030.88,0.979,1309932.232,Mobile,KR
2023-01-11,9516586,0.247,2350596,2.048,4814020.608,1.305,6282296.893,Mobile,AE
2023-01-11,2131153,0.721,1536561,2.157,3314362.077,0.915,3032641.3,Mobile,BR
2023-01-12,4217334,0.984,4149856,1.878,7793429.568,1.428,11129017.423,Desktop,PH
2023-01-12,2931296,0.147,430900,0.133,57309.7,0.848,48598.626,Desktop,MY
2023-01-12,3765487,0.026,97902,1.019,99762.138,1.096,109339.303,Mobile,NL
2023-01-12,8776388,0.355,3115617,0.786,2448874.962,1.463,3582704.069,Mobile,CA
2023-01-12,6595685,0.401,2644869,1.529,4044004.701,1.528,6179239.183,Mobile,MX
2023-01-12,7531376,0.729,5490373,1.972,10827015.556,0.77,8336801.978,Desktop,CA
2023-01-12,3126508,0.474,1481964,0.976,1446396.864,1.038,1501359.945,Mobile,BE
2023-01-12,1158746,0.089,103128,1.569,161807.832,1.234,199670.865,Desktop,RU
2023-01-12,1800639,0.506,911123,0.292,266047.916,1.513,402530.497,Desktop,ID
2023-01-12,1328505,0.318,422464,0.192,81113.088,0.915,74218.476,Mobile,ES
2023-01-12,7884351,0.326,2570298,1.494,3840025.212,1.233,4734751.086,Mobile,SG
2023-01-12,373623,0.422,157668,2.041,321800.388,0.834,268381.524,Desktop,FR
2023-01-12,7835474,0.83,6503443,0.242,1573833.206,1.395,2195497.322,Desktop,GR
2023-01-12,129338,0.902,116662,1.171,136611.202,1.283,175272.172,Mobile,EG
2023-01-13,7275178,0.29,2109801,0.624,1316515.824,0.887,1167749.536,Mobile,RU
2023-01-13,3461646,0.383,1325810,1.001,1327135.81,1.015,1347042.847,Desktop,SG
2023-01-13,6570120,0.602,3955212,2.066,8171467.992,1.173,9585131.955,Desktop,ES
2023-01-13,4978743,0.451,2245413,2.193,4924190.709,1.345,6623036.504,Desktop,NL
2023-01-13,6501239,0.667,4336326,1.805,7827068.43,1.224,9580331.758,Mobile,DE
2023-01-13,3823605,0.222,848840,1.206,1023701.04,1.049,1073862.391,Mobile,DE
2023-01-13,886560,0.91,806769,2.333,1882192.077,1.178,2217222.267,Mobile,NL
2023-01-13,6253729,0.955,5972311,0.133,794317.363,1.04,826090.058,Mobile,ES
2023-01-13,7646724,0.98,7493789,0.364,2727739.196,0.76,2073081.789,Mobile,SG
2023-01-13,8876700,0.932,8273084,0.538,4450919.192,1.078,4798090.889,Desktop,SE
2023-01-13,3493772,0.022,76862,1.532,117752.584,1.148,135179.966,Desktop,FI
2023-01-13,7182649,0.002,14365,1.175,16878.875,0.957,16153.083,Desktop,PH
2023-01-13,2799879,0.547,1531533,1.283,1964956.839,0.869,1707547.493,Mobile,ES
2023-01-13,9394870,0.481,4518932,0.3,1355679.6,0.782,1060141.447,Mobile,AE
2023-01-14,6113430,0.059,360692,0.97,349871.24,0.847,296340.94,Mobile,SE
2023-01-14,1256952,0.769,966596,2.241,2166141.636,1.151,2493229.023,Mobile,PT
2023-01-14,6332744,0.668,4230272,2.262,9568875.264,1.427,13654785.002,Desktop,US
2023-01-14,8570452,0.069,591361,1.574,930802.214,0.914,850753.224,Mobile,AU
2023-01-14,2036416,0.613,1248323,0.201,250912.923,1.002,251414.749,Mobile,FR
2023-01-14,1488359,0.584,869201,0.611,531081.811,1.097,582596.747,Desktop,NL
2023-01-14,1170051,0.988,1156010,0.253,292470.53,0.974,284866.296,Desktop,NO
2023-01-14,7395093,0.534,3948979,0.541,2136397.639,1.291,2758089.352,Desktop,PH
2023-01-14,1167284,0.859,1002696,2.036,2041489.056,1.422,2902997.438,Desktop,CH
2023-01-14,8043806,0.784,6306343,0.25,1576585.75,1.54,2427942.055,Mobile,AE
2023-01-14,2068852,0.642,1328202,1.592,2114497.584,1.44,3044876.521,Desktop,DK
2023-01-14,100826,0.057,5747,1.099,6315.953,1.427,9012.865,Desktop,FR
2023-01-14,5140517,0.669,3439005,0.564,1939598.82,1.471,2853149.864,Mobile,DE
2023-01-15,9505497,0.997,9476980,0.969,9183193.62,0.796,7309822.122,Mobile,TR
2023-01-15,3300715,0.001,3300,0.9,2970.0,1.518,4508.46,Desktop,IL
2023-01-15,701779,0.704,494052,1.294,639303.288,0.989,632270.952,Desktop,PH
2023-01-15,8177379,0.036,294385,1.634,481025.09,0.806,387706.223,Mobile,VN
2023-01-15,7591097,0.078,592105,1.175,695723.375,1.169,813300.625,Mobile,DE
2023-01-15,8877471,0.761,6755755,0.356,2405048.78,1.027,2469985.097,Desktop,BR
2023-01-15,3716870,0.18,669036,1.878,1256449.608,1.151,1446173.499,Mobile,BE
2023-01-15,4375870,0.928,4060807,1.969,7995728.983,1.126,9003190.835,Desktop,GR
2023-01-15,657214,0.773,508026,1.854,941880.204,1.226,1154745.13,Desktop,AE
2023-01-15,2023600,0.489,989540,2.228,2204695.12,1.0,2204695.12,Mobile,TH
2023-01-15,6869110,0.568,3901654,1.135,4428377.29,1.471,6514142.994,Mobile,MY
2023-01-15,1055626,0.623,657654,2.034,1337668.236,1.026,1372447.61,Desktop,ZA
2023-01-15,6982228,0.894,6242111,0.47,2933792.17,1.183,3470676.137,Mobile,VN
2023-01-15,8348407,0.796,6645331,0.929,6173512.499,0.896,5531467.199,Mobile,SA
2023-01-16,7211408,0.442,3187442,0.46,1466223.32,1.112,1630440.332,Mobile,ES
2023-01-16,5564134,0.887,4935386,1.91,9426587.26,1.217,11472156.695,Mobile,PH
2023-01-16,8412324,0.583,4904384,0.122,598334.848,1.149,687486.74,Mobile,NL
2023-01-16,1334834,0.57,760855,0.894,680204.37,1.285,874062.615,Mobile,KR
2023-01-16,4699232,0.84,3947354,1.996,7878918.584,1.521,11983835.166,Desktop,TR
2023-01-16,5147257,0.213,1096365,1.369,1500923.685,0.971,1457396.898,Mobile,SG
2023-01-16,6982656,0.498,3477362,0.388,1349216.456,1.541,2079142.559,Mobile,NL
2023-01-16,7298841,0.484,3532639,1.974,6973429.386,1.336,9316501.66,Desktop,ZA
2023-01-16,9003413,0.429,3862464,1.731,6685925.184,1.42,9494013.761,Desktop,PL
2023-01-16,6232039,0.356,2218605,2.092,4641321.66,1.389,6446795.786,Mobile,TH
2023-01-16,7302434,0.676,4936445,0.297,1466124.165,0.86,1260866.782,Desktop,IT
2023-01-16,3590737,0.434,1558379,1.03,1605130.37,0.98,1573027.763,Mobile,FR
2023-01-16,5048841,0.891,4498517,0.894,4021674.198,1.224,4922529.218,Desktop,CN
2023-01-16,4271694,0.727,3105521,1.47,4565115.87,0.772,3524269.452,Mobile,NL
2023-01-17,516138,0.678,349941,1.762,616596.042,1.209,745464.615,Desktop,ES
2023-01-17,245182,0.478,117196,0.731,85670.276,1.036,88754.406,Desktop,GR
2023-01-17,845368,0.715,604438,1.609,972540.742,1.077,1047426.379,Mobile,SG
2023-01-17,8094899,0.334,2703696,1.183,3198472.368,1.358,4343525.476,Desktop,AT
2023-01-17,9174798,0.821,7532509,2.318,17460355.862,0.764,13339711.879,Mobile,TH
2023-01-17,2878914,0.276,794580,1.617,1284835.86,1.173,1507112.464,Mobile,NO
2023-01-17,7388375,0.275,2031803,0.644,1308481.132,0.889,1163239.726,Desktop,PT
2023-01-17,4252218,0.98,4167173,1.455,6063236.715,0.947,5741885.169,Mobile,SA
2023-01-17,570938,0.867,495003,1.779,880610.337,0.868,764369.773,Mobile,PH
2023-01-17,4832506,0.194,937506,0.295,276564.27,0.849,234803.065,Mobile,IT
2023-01-17,9152870,0.753,6892111,0.988,6809405.668,0.828,5638187.893,Mobile,CN
2023-01-17,6037488,0.565,3411180,0.744,2537917.92,1.43,3629222.626,Desktop,TH
2023-01-17,3354198,0.736,2468689,0.27,666546.03,1.313,875174.937,Desktop,MX
2023-01-18,2622625,0.605,1586688,0.268,425232.384,0.966,410774.483,Desktop,GR
2023-01-18,4047776,0.053,214532,0.548,117563.536,0.782,91934.685,Mobile,AT
2023-01-18,1906194,0.28,533734,1.021,544942.414,0.898,489358.288,Desktop,IT
2023-01-18,4974218,0.818,4068910,1.082,4402560.62,1.497,6590633.248,Desktop,TR
2023-01-18,3904614,0.991,3869472,2.163,8369667.936,1.482,12403847.881,Desktop,BR
2023-01-18,9179085,0.23,2111189,1.697,3582687.733,1.058,3790483.622,Mobile,SE
2023-01-18,960722,0.019,18253,1.663,30354.739,1.16,35211.497,Desktop,DK
2023-01-18,2122963,0.599,1271654,2.159,2745500.986,1.09,2992596.075,Desktop,CA
2023-01-18,9725606,0.814,7916643,1.046,8280808.578,1.254,10384133.957,Desktop,VN
2023-01-18,1979820,0.432,855282,1.174,1004101.068,1.432,1437872.729,Desktop,CN
2023-01-18,4371530,0.334,1460091,0.84,1226476.44,1.43,1753861.309,Desktop,BR
2023-01-18,8063417,0.981,7910212,1.652,13067670.224,1.201,15694271.939,Desktop,MX
2023-01-18,7097827,0.16,1135652,1.405,1595591.06,0.822,1311575.851,Mobile,SA
2023-01-18,6944050,0.54,3749787,0.531,1991136.897,1.44,2867237.132,Desktop,SA
2023-01-19,9622824,0.756,7274854,0.95,6911111.3,0.887,6130155.723,Mobile,JP
2023-01-19,5522361,0.263,1452380,0.804,1167713.52,1.327,1549555.841,Desktop,KR
2023-01-19,6306794,0.594,3746235,1.649,6177541.515,1.345,8308793.338,Mobile,TR
2023-01-19,736641,0.642,472923,1.322,625204.206,1.263,789632.912,Mobile,NL
2023-01-19,5972759,0.252,1505135,1.249,1879913.615,1.014,1906232.406,Desktop,CN
2023-01-19,1816868,0.008,14534,0.288,4185.792,1.134,4746.688,Desktop,CH
2023-01-19,7122017,0.705,5021021,0.249,1250234.229,0.8,1000187.383,Mobile,GR
2023-01-19,8192797,0.725,5939777,2.28,13542691.56,1.142,15465753.762,Desktop,BE
2023-01-19,6344184,0.654,4149096,1.847,7663380.312,1.447,11088911.311,Mobile,SE
2023-01-19,8641788,0.155,1339477,1.677,2246302.929,1.11,2493396.251,Desktop,ID
2023-01-19,5683587,0.195,1108299,0.942,1044017.658,0.897,936483.839,Desktop,DK
2023-01-19,1157692,0.235,272057,2.194,596893.058,1.211,722837.493,Desktop,PL
2023-01-19,921532,0.688,634014,0.693,439371.702,1.144,502641.227,Desktop,PL
2023-01-19,1543749,0.566,873761,1.633,1426851.713,1.085,1548134.109,Mobile,PL
2023-01-20,1101296,0.049,53963,1.207,65133.341,0.895,58294.34,Desktop,BR
2023-01-20,9950571,0.236,2348334,1.033,2425829.022,1.07,2595637.054,Desktop,NL
2023-01-20,2495313,0.469,1170301,1.164,1362230.364,1.077,1467122.102,Mobile,GR
2023-01-20,1476981,0.781,1153522,1.15,1326550.3,1.088,1443286.726,Desktop,NO
2023-01-20,4033051,0.909,3666043,1.04,3812684.72,1.278,4872611.072,Desktop,SG
2023-01-20,1996635,0.824,1645227,0.806,1326052.962,1.439,1908190.212,Desktop,UK
2023-01-20,3447194,0.469,1616733,1.87,3023290.71,1.512,4571215.554,Mobile,UK
2023-01-20,2706959,0.059,159710,1.057,168813.47,1.317,222327.34,Desktop,DK
2023-01-20,3071306,0.071,218062,0.714,155696.268,1.422,221400.093,Mobile,SG
2023-01-20,6030809,0.338,2038413,1.432,2919007.416,0.839,2449047.222,Desktop,AT
2023-01-20,3389265,0.736,2494499,1.861,4642262.639,1.302,6044225.956,Mobile,TH
2023-01-20,6588968,0.273,1798788,0.991,1782598.908,1.105,1969771.793,Desktop,ES
2023-01-20,512923,0.646,331348,2.181,722669.988,1.475,1065938.232,Desktop,ES
2023-01-21,2033946,0.522,1061719,0.82,870609.58,1.239,1078685.27,Desktop,UK
2023-01-21,8048594,0.966,7774941,1.051,8171462.991,0.987,8065233.972,Desktop,EG
2023-01-21,8657011,0.806,6977550,0.401,2797997.55,1.185,3315627.097,Desktop,BR
2023-01-21,7642009,0.102,779484,0.441,343752.444,1.136,390502.776,Desktop,NO
2023-01-21,2214334,0.098,217004,0.425,92226.7,1.449,133636.488,Desktop,SA
2023-01-21,4488069,0.785,3523134,1.593,5612352.462,0.845,4742437.83,Desktop,AU
2023-01-21,2665499,0.313,834301,1.792,1495067.392,1.449,2166352.651,Mobile,SE
2023-01-21,366582,0.291,106675,0.415,44270.125,0.846,37452.526,Mobile,VN
2023-01-21,966718,0.111,107305,0.614,65885.27,1.238,81565.964,Desktop,VN
2023-01-21,6103941,0.223,1361178,1.644,2237776.632,1.12,2506309.828,Mobile,IN
2023-01-21,383750,0.666,255577,2.295,586549.215,1.447,848736.714,Mobile,IT
2023-01-21,4734822,0.756,3579525,1.757,6289225.425,1.53,9622514.9,Mobile,VN
2023-01-21,7550017,0.036,271800,1.522,413679.6,1.465,606040.614,Desktop,FR
2023-01-21,9264802,0.164,1519427,1.463,2222921.701,1.262,2805327.187,Desktop,IN
2023-01-22,8605850,0.506,4354560,1.016,4424232.96,1.082,4787020.063,Mobile,NO
2023-01-22,2765739,0.991,2740847,1.18,3234199.46,1.549,5009774.964,Mobile,ID
2023-01-22,57633,0.037,2132,0.161,343.252,1.419,487.075,Mobile,RU
2023-01-22,7503790,0.104,780394,0.675,526765.95,0.755,397708.292,Desktop,BE
2023-01-22,7437002,0.206,1532022,2.139,3276995.058,0.825,2703520.923,Mobile,AE
2023-01-22,8289006,0.044,364716,2.093,763350.588,1.409,1075560.978,Mobile,VN
2023-01-22,8684874,0.14,1215882,2.217,2695610.394,0.849,2288573.225,Desktop,DK
2023-01-22,3301347,0.943,3113170,0.216,672444.72,0.975,655633.602,Mobile,NO
2023-01-22,974757,0.896,873382,2.026,1769471.932,1.11,1964113.845,Desktop,SA
2023-01-22,8389331,0.304,2550356,1.126,2871700.856,1.136,3262252.172,Mobile,AT
2023-01-22,1259775,0.807,1016638,1.005,1021721.19,1.453,1484560.889,Mobile,PT
2023-01-22,9166238,0.473,4335630,0.635,2753125.05,0.818,2252056.291,Mobile,TR
2023-01-22,5158246,0.91,4694003,1.842,8646353.526,0.944,8162157.729,Mobile,CA
2023-01-22,2473140,0.114,281937,0.245,69074.565,1.275,88070.07,Desktop,NO
2023-01-23,3923344,0.973,3817413,1.722,6573585.186,1.214,7980332.416,Mobile,BR
